Id,Humi,Temp,Sun,Soil,Flame,Date,Packet #,CRC,receivedPacketCount,RSSI,File Name,PDR,PCR,Ctrl
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,69,24,24,24,24,01/01/12-00:42:15,1,0,1,-70,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,68,24,24,24,24,01/01/12-00:42:18,2,0,2,-69,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,69,24,15,24,24,01/01/12-00:42:22,3,0,3,-65,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:22
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,69,24,15,24,24,01/01/12-00:42:26,4,0,4,-70,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:26
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,15,25,25,01/01/12-00:42:30,5,0,5,-71,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,14,25,25,01/01/12-00:42:33,6,0,6,-65,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:33
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,14,25,25,01/01/12-00:42:37,7,0,7,-71,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:37
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,16,25,25,01/01/12-00:42:41,8,0,8,-68,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:41
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,17,25,25,01/01/12-00:42:45,9,0,9,-72,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:45
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,10,25,25,01/01/12-00:42:48,10,0,10,-67,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:48
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,8,25,25,01/01/12-00:42:52,11,0,11,-66,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:52
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,9,25,25,01/01/12-00:42:56,12,0,12,-66,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:56
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,9,25,25,01/01/12-00:42:59,13,0,13,-65,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:42:59
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,9,25,25,01/01/12-00:43:03,14,0,14,-68,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:43:03
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,67,25,9,25,25,01/01/12-00:43:07,15,0,15,-65,8_bn_111_100m,,,8_bn_111_100m-01/01/12-00:43:07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
